x y f
-1.0000 -1.0000 -3.0000
-0.9545 -1.0000 -2.9112
-0.9091 -1.0000 -2.8264
-0.8636 -1.0000 -2.7459
-0.8182 -1.0000 -2.6694
-0.7727 -1.0000 -2.5971
-0.7273 -1.0000 -2.5289
-0.6818 -1.0000 -2.4649
-0.6364 -1.0000 -2.4050
-0.5909 -1.0000 -2.3492
-0.5455 -1.0000 -2.2975
-0.5000 -1.0000 -2.2500
-0.4545 -1.0000 -2.2066
-0.4091 -1.0000 -2.1674
-0.3636 -1.0000 -2.1322
-0.3182 -1.0000 -2.1012
-0.2727 -1.0000 -2.0744
-0.2273 -1.0000 -2.0517
-0.1818 -1.0000 -2.0331
-0.1364 -1.0000 -2.0186
-0.0909 -1.0000 -2.0083
-0.0455 -1.0000 -2.0021
0.0000 -1.0000 -2.0000
0.0455 -1.0000 -2.0021
0.0909 -1.0000 -2.0083
0.1364 -1.0000 -2.0186
0.1818 -1.0000 -2.0331
0.2273 -1.0000 -2.0517
0.2727 -1.0000 -2.0744
0.3182 -1.0000 -2.1012
0.3636 -1.0000 -2.1322
0.4091 -1.0000 -2.1674
0.4545 -1.0000 -2.2066
0.5000 -1.0000 -2.2500
0.5455 -1.0000 -2.2975
0.5909 -1.0000 -2.3492
0.6364 -1.0000 -2.4050
0.6818 -1.0000 -2.4649
0.7273 -1.0000 -2.5289
0.7727 -1.0000 -2.5971
0.8182 -1.0000 -2.6694
0.8636 -1.0000 -2.7459
0.9091 -1.0000 -2.8264
0.9545 -1.0000 -2.9112
1.0000 -1.0000 -3.0000
1.0455 -1.0000 -3.0930
1.0909 -1.0000 -3.1901
1.1364 -1.0000 -3.2913
1.1818 -1.0000 -3.3967
1.2273 -1.0000 -3.5062
1.2727 -1.0000 -3.6198
1.3182 -1.0000 -3.7376
1.3636 -1.0000 -3.8595
1.4091 -1.0000 -3.9855
1.4545 -1.0000 -4.1157
1.5000 -1.0000 -4.2500
1.5455 -1.0000 -4.3884
1.5909 -1.0000 -4.5310
1.6364 -1.0000 -4.6777
1.6818 -1.0000 -4.8285
1.7273 -1.0000 -4.9835
1.7727 -1.0000 -5.1426
1.8182 -1.0000 -5.3058
1.8636 -1.0000 -5.4731
1.9091 -1.0000 -5.6446
1.9545 -1.0000 -5.8202
2.0000 -1.0000 -6.0000
2.0455 -1.0000 -6.1839
2.0909 -1.0000 -6.3719
2.1364 -1.0000 -6.5640
2.1818 -1.0000 -6.7603
2.2273 -1.0000 -6.9607
2.2727 -1.0000 -7.1653
2.3182 -1.0000 -7.3740
2.3636 -1.0000 -7.5868
2.4091 -1.0000 -7.8037
2.4545 -1.0000 -8.0248
2.5000 -1.0000 -8.2500
2.5455 -1.0000 -8.4793
2.5909 -1.0000 -8.7128
2.6364 -1.0000 -8.9504
2.6818 -1.0000 -9.1921
2.7273 -1.0000 -9.4380
2.7727 -1.0000 -9.6880
2.8182 -1.0000 -9.9421
2.8636 -1.0000 -10.2004
2.9091 -1.0000 -10.4628
2.9545 -1.0000 -10.7293
3.0000 -1.0000 -11.0000
3.0455 -1.0000 -11.2748
3.0909 -1.0000 -11.5537
3.1364 -1.0000 -11.8368
3.1818 -1.0000 -12.1240
3.2273 -1.0000 -12.4153
3.2727 -1.0000 -12.7107
3.3182 -1.0000 -13.0103
3.3636 -1.0000 -13.3140
3.4091 -1.0000 -13.6219
3.4545 -1.0000 -13.9339
3.5000 -1.0000 -14.2500
-1.0000 -0.9646 -2.9318
-0.9545 -0.9646 -2.8397
