iter erro h x y dfx dfy
0.000000 2.828427 0.200000 1.000000 1.000000 2.000000 -2.000000
1.000000 0.565685 1.000000 1.400000 0.600000 0.400000 0.400000
2.000000 0.565685 0.200000 1.800000 1.000000 0.400000 -0.400000
3.000000 0.113137 1.000000 1.880000 0.920000 0.080000 0.080000
4.000000 0.113137 0.200000 1.960000 1.000000 0.080000 -0.080000
5.000000 0.022627 1.000000 1.976000 0.984000 0.016000 0.016000
6.000000 0.022627 0.200000 1.992000 1.000000 0.016000 -0.016000
7.000000 0.004525 1.000000 1.995200 0.996800 0.003200 0.003200
8.000000 0.004525 0.200000 1.998400 1.000000 0.003200 -0.003200
9.000000 0.000905 0.200000 1.999040 0.999360 0.000640 0.000640
10.000000 0.000746 0.200000 1.999168 0.999488 0.000640 0.000384
11.000000 0.000632 0.200000 1.999296 0.999565 0.000538 0.000333
12.000000 0.000536 0.200000 1.999404 0.999631 0.000456 0.000282
13.000000 0.000454 0.200000 1.999495 0.999688 0.000386 0.000239
14.000000 0.000384 0.200000 1.999572 0.999735 0.000327 0.000202
15.000000 0.000326 0.200000 1.999637 0.999776 0.000277 0.000171
16.000000 0.000276 0.200000 1.999693 0.999810 0.000235 0.000145
17.000000 0.000234 0.200000 1.999740 0.999839 0.000199 0.000123
18.000000 0.000198 0.200000 1.999779 0.999864 0.000169 0.000104
19.000000 0.000168 0.200000 1.999813 0.999885 0.000143 0.000088
20.000000 0.000142 0.200000 1.999842 0.999902 0.000121 0.000075
21.000000 0.000120 0.200000 1.999866 0.999917 0.000102 0.000063
22.000000 0.000102 0.200000 1.999886 0.999930 0.000087 0.000054
23.000000 0.000086 0.200000 1.999904 0.999940 0.000074 0.000045
24.000000 0.000073 0.200000 1.999918 0.999950 0.000062 0.000039
25.000000 0.000062 0.200000 1.999931 0.999957 0.000053 0.000033
26.000000 0.000053 0.200000 1.999941 0.999964 0.000045 0.000028
27.000000 0.000045 0.200000 1.999950 0.999969 0.000038 0.000023
28.000000 0.000038 0.200000 1.999958 0.999974 0.000032 0.000020
29.000000 0.000032 0.200000 1.999964 0.999978 0.000027 0.000017
30.000000 0.000027 0.200000 1.999970 0.999981 0.000023 0.000014
31.000000 0.000023 0.200000 1.999974 0.999984 0.000020 0.000012
32.000000 0.000019 0.200000 1.999978 0.999987 0.000017 0.000010
33.000000 0.000016 0.200000 1.999982 0.999989 0.000014 0.000009
34.000000 0.000014 0.200000 1.999984 0.999990 0.000012 0.000007
35.000000 0.000012 0.200000 1.999987 0.999992 0.000010 0.000006
36.000000 0.000010 0.200000 1.999989 0.999993 0.000009 0.000005
37.000000 0.000008 0.200000 1.999991 0.999994 0.000007 0.000004
