eta, f, f_linha, f_duas_linhas
0.0000, 0.000000, 0.000000, 0.332057
0.0100, 0.000017, 0.003321, 0.332057
0.0200, 0.000066, 0.006641, 0.332057
0.0300, 0.000149, 0.009962, 0.332057
0.0400, 0.000266, 0.013282, 0.332057
0.0500, 0.000415, 0.016603, 0.332056
0.0600, 0.000598, 0.019923, 0.332055
0.0700, 0.000814, 0.023244, 0.332054
0.0800, 0.001063, 0.026564, 0.332053
0.0900, 0.001345, 0.029885, 0.332051
0.1000, 0.001660, 0.033206, 0.332048
0.1100, 0.002009, 0.036526, 0.332045
0.1200, 0.002391, 0.039846, 0.332041
0.1300, 0.002806, 0.043167, 0.332037
0.1400, 0.003254, 0.046487, 0.332032
0.1500, 0.003736, 0.049807, 0.332026
0.1600, 0.004250, 0.053128, 0.332020
0.1700, 0.004798, 0.056448, 0.332012
0.1800, 0.005379, 0.059768, 0.332004
0.1900, 0.005994, 0.063088, 0.331994
0.2000, 0.006641, 0.066408, 0.331984
0.2100, 0.007322, 0.069728, 0.331972
0.2200, 0.008036, 0.073047, 0.331960
0.2300, 0.008783, 0.076367, 0.331946
0.2400, 0.009563, 0.079686, 0.331930
0.2500, 0.010376, 0.083005, 0.331914
0.2600, 0.011223, 0.086324, 0.331896
0.2700, 0.012103, 0.089643, 0.331877
0.2800, 0.013016, 0.092962, 0.331856
0.2900, 0.013962, 0.096280, 0.331833
0.3000, 0.014941, 0.099599, 0.331809
0.3100, 0.015954, 0.102917, 0.331784
0.3200, 0.017000, 0.106234, 0.331756
0.3300, 0.018079, 0.109552, 0.331727
0.3400, 0.019191, 0.112869, 0.331696
0.3500, 0.020336, 0.116186, 0.331664
0.3600, 0.021515, 0.119502, 0.331629
0.3700, 0.022726, 0.122818, 0.331592
0.3800, 0.023971, 0.126134, 0.331554
0.3900, 0.025249, 0.129449, 0.331513
0.4000, 0.026560, 0.132764, 0.331470
0.4100, 0.027904, 0.136079, 0.331425
0.4200, 0.029281, 0.139393, 0.331377
0.4300, 0.030692, 0.142706, 0.331328
0.4400, 0.032136, 0.146019, 0.331276
0.4500, 0.033612, 0.149332, 0.331221
0.4600, 0.035122, 0.152644, 0.331164
0.4700, 0.036665, 0.155955, 0.331105
0.4800, 0.038241, 0.159266, 0.331043
0.4900, 0.039851, 0.162576, 0.330978
0.5000, 0.041493, 0.165885, 0.330911
0.5100, 0.043168, 0.169194, 0.330841
0.5200, 0.044877, 0.172502, 0.330768
0.5300, 0.046618, 0.175809, 0.330692
0.5400, 0.048393, 0.179116, 0.330614
0.5500, 0.050201, 0.182422, 0.330532
0.5600, 0.052041, 0.185727, 0.330448
0.5700, 0.053915, 0.189031, 0.330360
0.5800, 0.055822, 0.192334, 0.330270
0.5900, 0.057762, 0.195636, 0.330176
0.6000, 0.059735, 0.198937, 0.330079
0.6100, 0.061741, 0.202238, 0.329979
0.6200, 0.063779, 0.205537, 0.329875
0.6300, 0.065851, 0.208835, 0.329769
0.6400, 0.067956, 0.212132, 0.329658
0.6500, 0.070094, 0.215428, 0.329544
0.6600, 0.072265, 0.218723, 0.329427
0.6700, 0.074468, 0.222017, 0.329306
0.6800, 0.076705, 0.225309, 0.329182
0.6900, 0.078975, 0.228600, 0.329054
0.7000, 0.081277, 0.231890, 0.328922
0.7100, 0.083612, 0.235179, 0.328787
0.7200, 0.085981, 0.238466, 0.328647
0.7300, 0.088382, 0.241752, 0.328504
0.7400, 0.090816, 0.245036, 0.328357
0.7500, 0.093282, 0.248319, 0.328206
0.7600, 0.095782, 0.251600, 0.328051
0.7700, 0.098314, 0.254880, 0.327891
0.7800, 0.100880, 0.258158, 0.327728
0.7900, 0.103478, 0.261434, 0.327561
0.8000, 0.106108, 0.264709, 0.327389
0.8100, 0.108772, 0.267982, 0.327213
0.8200, 0.111468, 0.271253, 0.327033
0.8300, 0.114197, 0.274523, 0.326849
0.8400, 0.116958, 0.277790, 0.326660
0.8500, 0.119753, 0.281056, 0.326467
0.8600, 0.122579, 0.284320, 0.326269
0.8700, 0.125439, 0.287581, 0.326067
0.8800, 0.128331, 0.290841, 0.325860
0.8900, 0.131256, 0.294099, 0.325649
0.9000, 0.134213, 0.297354, 0.325433
0.9100, 0.137203, 0.300607, 0.325212
0.9200, 0.140225, 0.303858, 0.324986
0.9300, 0.143280, 0.307107, 0.324756
0.9400, 0.146367, 0.310353, 0.324521
0.9500, 0.149487, 0.313597, 0.324281
0.9600, 0.152639, 0.316839, 0.324036
0.9700, 0.155824, 0.320078, 0.323787
0.9800, 0.159041, 0.323315, 0.323532
0.9900, 0.162290, 0.326549, 0.323272
1.0000, 0.165572, 0.329780, 0.323007
1.0100, 0.168886, 0.333009, 0.322737
1.0200, 0.172232, 0.336235, 0.322462
1.0300, 0.175610, 0.339458, 0.322182
1.0400, 0.179021, 0.342678, 0.321896
1.0500, 0.182464, 0.345896, 0.321605
1.0600, 0.185939, 0.349110, 0.321309
1.0700, 0.189446, 0.352322, 0.321008
1.0800, 0.192985, 0.355531, 0.320701
1.0900, 0.196557, 0.358736, 0.320389
1.1000, 0.200160, 0.361938, 0.320072
1.1100, 0.203795, 0.365137, 0.319748
1.1200, 0.207463, 0.368333, 0.319420
1.1300, 0.211162, 0.371526, 0.319086
1.1400, 0.214893, 0.374715, 0.318746
1.1500, 0.218656, 0.377901, 0.318401
1.1600, 0.222451, 0.381083, 0.318050
1.1700, 0.226278, 0.384262, 0.317693
1.1800, 0.230137, 0.387437, 0.317331
1.1900, 0.234027, 0.390608, 0.316963
1.2000, 0.237949, 0.393776, 0.316589
1.2100, 0.241902, 0.396940, 0.316210
1.2200, 0.245888, 0.400100, 0.315824
1.2300, 0.249904, 0.403257, 0.315433
1.2400, 0.253953, 0.406409, 0.315036
1.2500, 0.258032, 0.409557, 0.314633
1.2600, 0.262144, 0.412702, 0.314224
1.2700, 0.266286, 0.415842, 0.313809
1.2800, 0.270461, 0.418978, 0.313388
1.2900, 0.274666, 0.422110, 0.312962
1.3000, 0.278903, 0.425237, 0.312529
1.3100, 0.283171, 0.428360, 0.312090
1.3200, 0.287470, 0.431479, 0.311645
1.3300, 0.291800, 0.434593, 0.311194
1.3400, 0.296162, 0.437703, 0.310737
1.3500, 0.300554, 0.440808, 0.310274
1.3600, 0.304978, 0.443908, 0.309805
1.3700, 0.309432, 0.447004, 0.309329
1.3800, 0.313918, 0.450095, 0.308847
1.3900, 0.318434, 0.453181, 0.308359
1.4000, 0.322982, 0.456262, 0.307865
1.4100, 0.327560, 0.459338, 0.307365
1.4200, 0.332168, 0.462409, 0.306859
1.4300, 0.336808, 0.465475, 0.306346
1.4400, 0.341478, 0.468536, 0.305827
1.4500, 0.346178, 0.471592, 0.305301
1.4600, 0.350910, 0.474642, 0.304770
1.4700, 0.355671, 0.477687, 0.304232
1.4800, 0.360463, 0.480727, 0.303688
1.4900, 0.365286, 0.483761, 0.303137
1.5000, 0.370139, 0.486789, 0.302581
1.5100, 0.375022, 0.489812, 0.302017
1.5200, 0.379935, 0.492830, 0.301448
1.5300, 0.384878, 0.495841, 0.300872
1.5400, 0.389852, 0.498847, 0.300290
